Date,Transaction Type,Used Card,Amount,Billing Cycle 
Sun Dec 27 00:00:00 PST 2020,Purchase,VISA,1045.0,"09/19/2022,07/16/2022"
Sun Dec 27 00:00:00 PST 2020,Purchase,VISA,721.0,"02/02/2022,01/01/2021"
Sun Dec 27 00:00:00 PST 2020,Purchase,DISCOVER,1628.0,"05/30/2021,05/07/2021"
Sun Dec 27 00:00:00 PST 2020,Payment,DISCOVER,1247.0,"03/07/2022,07/11/2022"
Sun Dec 27 00:00:00 PST 2020,Payment,AMEX,1491.0,"05/21/2022,07/23/2022"
Sun Dec 27 00:00:00 PST 2020,Payment,DISCOVER,1042.0,"05/04/2021,01/17/2022"
Sun Dec 27 00:00:00 PST 2020,Payment,AMEX,1378.0,"01/15/2021,07/27/2021"
Sun Dec 27 00:00:00 PST 2020,Payment,AMEX,1367.0,"01/29/2021,10/25/2022"
Sun Dec 27 00:00:00 PST 2020,Payment,VISA,1032.0,"07/19/2022,10/05/2021"
Sun Dec 27 00:00:00 PST 2020,Payment,VISA,1535.0,"02/27/2022,06/12/2022"
Sun Dec 27 00:00:00 PST 2020,Payment,DISCOVER,947.0,"08/18/2022,07/13/2021"
Sun Dec 27 00:00:00 PST 2020,Payment,DISCOVER,1507.0,"07/22/2022,09/24/2021"
Sun Dec 26 00:00:00 PST 2021,Purchase,VISA,1090.0,"04/03/2022,03/11/2021"
Sun Dec 26 00:00:00 PST 2021,Purchase,AMEX,1022.0,"06/02/2021,04/05/2022"
Sun Dec 26 00:00:00 PST 2021,Payment,AMEX,899.0,"08/25/2022,09/14/2022"
Sun Dec 26 00:00:00 PST 2021,Payment,AMEX,252.0,"06/06/2022,02/23/2021"
Sun Dec 26 00:00:00 PST 2021,Payment,VISA,1915.0,"05/14/2022,07/15/2022"
Sun Dec 26 00:00:00 PST 2021,Payment,VISA,1861.0,"06/28/2021,08/14/2021"
Sun Dec 26 00:00:00 PST 2021,Payment,DISCOVER,460.0,"04/16/2022,07/27/2022"
Sun Dec 26 00:00:00 PST 2021,Payment,AMEX,1857.0,"09/23/2021,07/07/2021"
Sun Dec 26 00:00:00 PST 2021,Payment,VISA,794.0,"02/10/2021,06/30/2022"
Sun Dec 26 00:00:00 PST 2021,Payment,VISA,630.0,"04/04/2021,03/23/2021"
